gene_id,AKP_REP1,AKP_REP2,AKP_REP3,AKPE_REP1,AKPE_REP2,AKPE_REP3,AP_REP1,AP_REP2,AP_REP3
Cnr1,3,0,0,1,0,0,0,0,0
Cnr2,0,1,1,3,0,2,5,3,1
Cnrip1,0,0,0,0,0,0,0,0,0
Cnst,482,521,560,540,616,715,831,546,458
Cntd1,20.593,17.144,14.117,8.835,31.156,29.121,52.087,52.005,9.717
Cntf,24.412,27,44.301,12.89,28.758,35.565,16.674,31.039,29.221
Cntfr,53,119,38,63,121,15,22,20,10
Cntln,0,0,0,0,0,0,0,0,0
Cntn1,0,0,0,0,1,1,0,1,1
Cntn2,0,0,0,3,3,2,0,0,3
Cntn3,0,0,0,18,0,4,4,3,0
Cntn4,0,1,0,1,0,0,0,0,0
Cntn5,0,0,0,0,3,1,0,1,0
Cntn6,0,0,0,0,0,0,0,0,0
Cntnap1,106,276,196,583,691,529,336,442,215
Cntnap2,0,5,3,1,6,1,1,5,1
Cntnap3,0,0,0,0,0,0,0,0,0
Cntnap4,0,0,0,0,0,0,0,0,0
Cntnap5a,0,0,0,0,0,0,0,0,0
Cntnap5b,0,0,0,0,0,0,0,0,0
Cntnap5c,0,0,0,0,0,0,0,0,0
Cntrl,1630,1306,1457,1550,1297,1385,1225,772,926
Cntrob,757,732,740,778,792,826,922,746,632
Coa3,1677,2312,2098,1726,2220,1829,2140,2092,1968
Coa4,228,331,311,246,378,246,498,421,337
Coa5,3466,3516,3467,3904,3717,3093,2725,3448,3565
Coa6,529,540,607,430,497,521,420,395,454
Coa7,515,588,555,612,687,502,300,423,545
Coasy,1238,1214,1303,1111,1297,1426,1516,1266,1064
Cobl,3524,3539,3122,3592,4208,2823,3097,2903,3154.999
Cobll1,1649,1512,1082,813,897,770,709,583,704
Coch,0,0,0,0,3,0,0,0,0
Cog1,882,979,1024.471,1179.403,1388.14,1123.109,1378.846,964,1046
Cog2,1110,984,1478,1230,1442,1625,1414,1075,1127
Cog3,2098,2035,2288,1901,2402,1793,2401,2248,1697
Cog4,1497,1260,1581,1465,1602,1689,1655,1190,1402
Cog5,436,376,543,596,625,551,707,366,463
Cog6,1024,941,1261,942,1070,1145,1386,1020,967
Cog7,821,956,1028,902,1216,996,1360,1041,971
Cog8,1387,1483,1531,1254,1589,1573,1180,1481,1434
Coil,663,606,471,642,712,407,382,368,402
Col10a1,1,0,0,0,3,1,4,2,1
Col11a1,0,0,1,3,0,0,0,0,1
Col11a2,28,21,18,48,56,33,16,9,3
Col12a1,0,4,4,2,5,4,3,15,22
Col13a1,0,0,0,0,0,0,0,0,0
Col14a1,140,515,513,828,1551,599,170,320,495
Col15a1,1,0,3,0,6,6,0,1,1
Col16a1,97,36,80,111,98,60,21,23,33
Col17a1,1,0,4,25,2,15,4,9,1
Col18a1,7277,4316,5036,3039,3740,1855,2290,3097,2098
Col19a1,0,0,0,2,1,0,0,0,0
Col1a1,6,0,1,1,4,1,7,2,0
Col1a2,2,0,1,1,1,0,0,1,3
Col20a1,2,1,5,5,6,8,15,14,2
Col22a1,0,0,1,0,0,0,5,4,3
Col23a1,0,0,0,9,9,2,10,6,0
Col24a1,0,0,0,0,0,0,0,0,0
Col25a1,0,0,0,0,2,0,0,2,0
Col26a1,2,17,1,0,14,1,0,76,0
Col27a1,0,0,0,5,10,1,5,5,4
Col28a1,39,37,47,18,17,36,11,5,3
Col2a1,2,1,0,0,1,0,4,2,7
Col3a1,17,12,108,69,47,171,1,15,8
Col4a1,15662,11693,11338,9471,13929,5327,5404,6964,10102
Col4a2,11308,8560,9266,6884,9591,3767,4026,5349,8239
Col4a3,3,6,1,5,13,5,8,11,1
Col4a3bp,3730,2914,3176,2843,2913,2328,1302,1501,2543
Col4a4,1,3,4,6,5,12,3,2,1
Col4a5,76,35,40,60,70,43,141,109,158
Col4a6,0,0,2,0,0,0,0,2,5
Col5a1,0,0,1,2,0,0,0,0,0
Col5a2,0,0,0,0,0,0,0,0,0
Col5a3,1,0,0,3,1,0,0,0,0
Col6a1,0,0,0,0,0,1,0,0,0
Col6a2,0,0,0,0,0,0,0,0,0
Col6a3,0,0,0,0,0,0,0,0,0
Col6a4,0,2,0,0,3,0,0,0,0
Col6a5,3,0,5,5,0,2,0,0,0
Col6a6,0,0,0,0,0,0,0,0,0
Col7a1,5,6,12,26,16,8,8,7,14
Col8a1,1,1,21,9,11,7,31,2,4
Col8a2,1,1,0,0,1,0,0,0,0
Col9a1,0,0,0,2,28,1,7,3,1
Col9a2,0,1,0,2,16,15,3,5,5
Col9a3,24,12,5,24,150,15,2,5,1
Colec10,0,0,0,0,0,0,0,0,1
Colec11,3,1,4,1,2,0,0,3,1
Colec12,45,5,42,94,26,6,0,1,0
Colgalt1,4553,4281,5537,5430,5389,5376,4872,5286,5782
Colgalt2,5,7,21,7,19,8,12,11,9
Colq,0,0,0,1,0,0,0,0,3
Commd1,1153,1199,1120,1004,1227,1055,1021,1116,1034
Commd10,672,769,871,919,1050,929,1042,1031,744
Commd2,1556,1675,1842,1280,1651,1620,1097,1213,1437
Commd3,930,965,1120,1000,1170,1010,1806,1910,1704
Commd4,600,615,636,529,777,671,694,634,610
Commd5,460,550,506,460,539,427,430,571,522
Commd6,494,422,504,420,536,460,616,607,443
Commd7,772,911,723,816,937,786,729,823,1018
Commd8,967,838,1276,1107,911,1110,774,952,763
Commd9,742,689,730,621,771,805,429,631,558
Comp,3,2,3,2,6,6,2,3,3
Comt,2434.828,2570.998,2845.995,2601.99,2958.997,3026.997,3436.986,3088.999,2814.868
Comtd1,568,667,617,804,974,605,595,792,851
Copa,8204.949,7294,8246.992,8566.603,9976.82,8297,9085,8434.042,8108.886
Copb1,4385,4611,5065,5285,5497,4227,5049,4669,4626
Copb2,5949,5508,6649,5882,6514,5633,5305,5235,5169
Cope,2426,2424,3266,2176,3328,3509,3468,3669,2464
Copg1,6391,6145,6304,6249,7326,5606,5586,5364,5653
Copg2,1334.416,1475.929,1695.261,1443.5,1767.693,1962.709,2214.778,1708.927,1426.551
Coprs,396,377,494,242,407,485,169,188,258
Cops2,4528,3470.999,4437,4241,3858.001,3790.999,3195.001,3464,3299
Cops3,2750.717,2486.848,2714.221,2822.921,2851.019,2474.901,1790.878,2465.903,2017.87
Cops4,2991,3383,4443,3690,3458,3493,2484,3109,2704
Cops5,3729,3745,4115,3277,3801,3426,2500,3209.999,3286
Cops6,3735,4084,5259,3844,4288,3923,2960,3133,3330
Cops7a,4800,4701,5185,4544,5016,5055,4204,4241,4820
