"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Regulation"
"Kcnk6",461.262353150128,-0.195946243102097,0.241675822140279,-0.810781324200325,0.417491261309408,0.991822638205842,"Not Significant"
"Kcnk7",5.51976532931936,-0.899656934035716,1.33132338664703,-0.675761383792352,0.49919215598088,1,"Not Significant"
"Kcnma1",26.4671264922408,-0.0783630191300344,0.800424137906184,-0.0979018690453575,0.922010215835225,1,"Not Significant"
"Kcnmb2",0.229618504751491,0.913859790895915,4.08045587181216,0.223960219055148,0.822788257571209,1,"Not Significant"
"Kcnmb4",0.110592603604057,0.913867797977817,4.08045587181216,0.223962181355967,0.822786730659797,1,"Not Significant"
"Kcnmb4os2",0.966879569220067,2.40953381437545,2.46129919911954,0.978968268155856,0.327595658540487,0.928373140699728,"Not Significant"
"Kcnn1",22.4673420961971,0.891638181716082,0.837103203550989,1.06514725775001,0.286809296604746,0.888791703829755,"Not Significant"
"Kcnn2",1.8866728298544,-3.3964641326847,2.78484495775849,-1.21962413857987,0.222607391486526,0.81159523795816,"Not Significant"
"Kcnn4",3150.24881071047,-0.609663650353769,0.232859773638577,-2.61815787599293,0.00884058926474963,0.106683750066765,"Not Significant"
"Kcnq1",2980.77354656383,0.127083799619003,0.188572877534049,0.673924062043637,0.500359593462642,1,"Not Significant"
"Kcnq1ot1",57.7148083892652,-0.00454837555926352,0.522353523088718,-0.00870746603252259,0.993052535081803,1,"Not Significant"
"Kcnq2",0.100988214949309,-1.00967754678275,4.08045587181216,-0.247442339410559,0.804565910578235,1,"Not Significant"
"Kcnq4",11.0841394847064,4.6217882538626,1.49760677892608,3.08611600781937,0.00202789686848133,0.0342319931883718,"Upregulated"
"Kcnq5",427.685046641214,-0.265372388159869,0.169492761465978,-1.56568567214675,0.117422222181865,0.604427784098307,"Not Significant"
"Kcnrg",0.836514843019779,3.80260014775946,3.76708430690597,1.00942793894694,0.31276944492722,0.913853218180047,"Not Significant"
"Kcns3",7.91655383503351,-2.33855383558172,1.23154394739742,-1.89887972777886,0.057580291323531,0.392326755846437,"Not Significant"
"Kcnt2",0.3197027333072,-1.81438987373999,4.04627048460526,-0.448410426500936,0.653857018332804,1,"Not Significant"
"Kcnu1",25.9609734728387,1.16992235495048,1.14706525448023,1.01992659125623,0.307763277166307,0.908767802916755,"Not Significant"
"Kcnv2",2.96433121805391,-2.62994927775676,1.75618225843553,-1.49753777839642,0.134253383194495,0.653128654562835,"Not Significant"
"Kcp",1.72328633191314,-0.186371398064713,2.07119866158706,-0.0899823862969789,0.928301211740059,1,"Not Significant"
"Kctd1",193.201591079305,0.673576676256917,0.209583937967322,3.21387546579041,0.00130956457685038,0.0242048423160045,"Upregulated"
"Kctd10",5680.71600527921,-0.493504439992251,0.157328802819827,-3.13677108798326,0.00170819439052257,0.0300511868581691,"Downregulated"
"Kctd11",623.511293388808,-0.0907650910863171,0.351884774099659,-0.257939808048105,0.796453361711891,1,"Not Significant"
"Kctd12",50.6765186852611,1.28662877736264,0.517229186040046,2.48754094333538,0.0128629646521326,0.141049392359351,"Not Significant"
"Kctd12b",3.00131229137566,-2.57480960890156,2.32261130541511,-1.10858394725732,0.267609706336527,0.871004135069071,"Not Significant"
"Kctd13",361.588454034529,-0.078636884689793,0.17874225008263,-0.439945702000733,0.659976434190108,1,"Not Significant"
"Kctd14",79.5564750662042,2.02271455958395,0.52192131705227,3.87551627706629,0.000106398866717781,0.00316523080242609,"Upregulated"
"Kctd15",12.2045218378338,-2.09992307481717,1.56311573971564,-1.34342136123534,0.179135573852803,0.744728918194665,"Not Significant"
"Kctd16",2.49124727637731,0.227564378747307,2.42234338660358,0.0939438974696235,0.925153722869462,1,"Not Significant"
"Kctd17",92.3692755111013,1.53397542941576,0.40181619814688,3.81760475682722,0.00013475357587425,0.00383884614977379,"Upregulated"
"Kctd18",262.747219296499,0.248529361530081,0.21156525163089,1.17471730170359,0.240107835035628,0.835750791715191,"Not Significant"
